date,Fun,Together,Holiday,Summer,Forever,Love,emoji1,emoji2,emoji3,emoji4,emoji5,emoji6,teamName
2015-11-14T08:49:37.073Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:01.220Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:02.593Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:03.319Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:03.702Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.028Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.248Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.440Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.610Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.773Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:04.944Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:05.107Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:05.298Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:05.473Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:05.640Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:23.374Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:24.054Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:24.744Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T08:53:25.436Z,0,1,1,0,0,0,1,1,0,0,0,0,Team Awesome
2015-11-14T11:04:49.788Z,0,1,1,0,0,0,1,1,0,0,0,0,Team AwesomeJ
2015-11-14T11:04:55.732Z,0,1,1,0,0,0,1,1,0,0,0,0,Team AwesomeT
2015-11-14T11:05:13.631Z,0,1,1,0,0,0,1,1,0,0,0,0,Team AwesomeT
2015-11-14T11:06:38.361Z,0,1,1,0,0,0,1,1,0,0,0,0,Team AwesomeT
