id,name,streetAddress,postalAddress,email,addressHeadOffice,tel,cell,fax,businessType,registeredNum,vatNum,Contact Person,registeredName,commencementDate,statusId,comment
1374,180 Degrees,Theunis Janson Ave  Highland Square,P.O. Box 14016  Leraatsfontein  1038,catering180@vodamail.co.za,,013-697 1181,,013-692 6665,REST,,,,Itswele Business Investements                     ,6/1/96,2,
1276,4 U Supermarket & Take Aways,363 Andries Str  ,P.O. Box 13604  The Tramshed,,,012-322 3955,,012-322 3955,SNACK,,,,,10/8/08,2,
557,60's Restaurant and Cafe,Cnr Hendrick Verwoerd & Van Velden Str  brits,,,,,,,REST,,,,,1/1/01,2,
9,A Cozinha Portuguesa,Shop 24  Brooklyn Square  Cor Middel & Veale Str  Pretoria,As above,,,012-3467205,,,REST,,,H. Sideris                                        ,,3/1/00,2,
853,Aandklas,"494 Hilda Str,  Hatfield",P.O. Box 12043  Hatfield   0028,,,3622146,,,REST,,,,Freetall Trading 217                              ,9/1/04,2,
996,Aashix Americal Showroom,Shop 4   Waltloo,P.O. Box 13196  Laudium  0037,,,"8,036,023",,,SNACK,,,,,5/1/02,2,
804,Abba Coffee Shop,222 Schoeman Str  Pta  0001,P.O. Box 1940  Edenvale  1610,,,"3,223,229",,,REST,,,,,5/1/04,2,
1327,Abreu's Coffee,Shop 47B  Wonderboom Junction,P.O. Box 49296  Hercules  Pretoria  0030,abreuscoffee@telkomsa.net,,,"836,090,112",,-1,,,,,10/1/09,2,
1,Achilles Restaurant,"South Str,  Hatfield.",P.O. Box 12995  Hatfield  Pretoria,,,(012) 362 0561,,,REST,,,L. Finke                                          ,,1/1/91,2,
1265,Achou Fresh Take Away,Cnr Church & Prinsloo Str  Pretoria,P.O. Box 798  Pretoria  0001,,,,,012-3287188,CAFE,,,,,1/1/09,2,
1534,Acorn Touch Catering,"415 Acorn Rd,   Lynnwood  0001",P.O. Box 16603  Pretoria North,hennieacorn@gmail.com,,,713366068,012-546 1895,FUNC,,,,,4/1/12,2,
809,Acropolis Cafe & T/away,"Nelson Mandela Str, 14  Rustenburg","Postnet Suite 4173  Pribave Bag X82323  Rustenburg,   0300",,,014-5928688,,,SNACK,,,,,10/1/05,2,
1011,Action Tavern,349 Zasm Str  Waltloo,,,,,,,OTHER,,,,,12/1/01,2,
662,ADC Corner Cafe,Shop 66 Monument Park Centre  Monument Park,P.O.Box 13374  Clubview   0014,,,012-4604143,,,OTHER,,,,African Data Corportation                         ,,2,
1296,Adega Brooklyn,299 Dey Str  Brooklyn,P.O. Box 72555  Lynnwood Ridge  ,brooklyn@adegas.co.za,,012-460 7117,,,REST,,,,Cassidy's Foods cc                                ,7/1/09,2,
1133,Adega Centurion,Shop 2E Centurion Crescent Shopping Cntr  Lenchen Ave South,P.O. Box 100681  Moreleta Plaza   Pretoria  0167,centurion@adegas.co.za,,"6,430,065",,"6,430,084",REST,2006042426/23,,,3Rios                                             ,5/28/06,2,
1164,Adega Silver Lakes,Cnr Lynnwood & Silverlakes Rd  Hazeldean Square,P.O. Box 12146  Centurion  0046,,,"8,093,422",,"8,093,421",REST,,,,,,2,
755,Adrika Cafe,795 Van Der Hof   Pretoria Gardens,,,,012-3771251,,,CAFE,,,,,1/1/05,-1,
10,Afri Foods Trust-International,"Montana Crossing Centre,  Zambesi Drive  Montana Park",P.O. Box 3244  Montana Park  Pretoria,,,012-5481665,,,REST,,,Mr. M. Brits                                      ,,4/30/01,2,
771,African Fried Chicken Rosslyn,Cnr piet Rautenbach & Kotxenberg   Rosslyn,P.O. Box 1272  Brits,,,5413656,,,SNACK,,,,,4/1/05,2,
919,African Fried Chicken Zambesi,Zambesi Retial Park  Cnr Zambesi & Moloto Rd  ,P.O. box 939  Sundowner  2161,,,"8,081,347",,"7,944,805",SNACK,,,,,11/24/05,2,
1250,Afro Heritage,225 Hamilton Str  Arcadia  Pretoria,P.O. Box 29861  Sunnyside  0132,,,,,,OTHER,,,,,,-1,
1328,Afro Rhythm Restaurant & Lounge,Shop 204 Arcadia Centre  130 Beatrix Street  Arcadia  Pretoria,P.O. Box 11359  Erasmuskloof  0048,info@afrorhythm.co.za,,012-323 6724,,"865,448,992",REST,,,,,1/18/10,2,
854,Ahmed Food & T/Away,Shop 3 Aloes Centre  Delville Str  Witbank,,,,013-6903086,,,CAFE,,,,,9/5/05,2,
11,Air Force HQ Canteen,Daquer Rd,P.O.Box 5137  The Reeds,,,"123,122,790",834078425,,REST,,,,,1/1/97,2,
2,Ajays Pub & Grill,225 Dykor Str  Silverton  Pretoria,,,,(012) 8044505,,,OTHER,,,                                                  ,,2/7/02,2,
572,AJJ Distributers of Caterers,149 Bosman Str  Pretoria  ,69 Nickel Str  Ennerdale Ext 14,,,012-3344723,,,OTHER,,,,,4/1/03,2,
15,Akasia Bakery,208 Wonderpark Shopping Centre,P.O. Box 58049  Karen Park  0118,,,012-5491187,834174841,,OTHER,,,,,5/1/02,2,
16,Akhalwaya's Food Lane,217 Jewel Str  Laudium  0037,P.O.Box 13941  Laudium  0037,,,012-3740500,,,FISH,,,Mr. Ahmed Athalwaya                               ,,7/1/02,2,
18,Al Dente Rest. c.c.,103 Club Ave  Waterkloof Heights,P.O.Box 98005  Waterkloof Heights  0065,,,012-4609686,,012-4601669,REST,,,                                                  ,Micromath Trading 205 cc                          ,9/10/95,2,
709,Al Madina S/M no 2,550 Church Str  Pretoria West  0002,,,,012-3271988,,,OTHER,,,,,2/1/05,2,
1435,Ala Turka Turkish Tavern,Shop 121  Irene Village Mall,,,,,,,REST,,,,,10/12/10,2,
17,Alcona Spur,Cor Boeing & Piering Str  Elarduspark,P.O.Box 37780  Faerie Glen  ,,,012-3455445,,,REST,,,A.O. Connell                                      ,,10/28/99,2,
1122,Algarve & Nitespot,Salu Bld  255 Schoeman Str  Pta,P.O.Box 38578  Faerie Glen  0043,,,3223669,,9913547,REST,,,,,8/1/07,2,
1308,All Day Foods,67 Potgieter Str,P.O. Box 557  Pretoria  0001,alldayfoods@absamail.co.za,,012-3212166,,012-326 2509,FUNC,,,,,1/1/09,2,
19,All Day Night Tavern,93 Boom Str  Belle Ombre  Marabastad  ,,,,012-3264241,834153468,,REST,,,D.Henning                                         ,,10/1/01,2,
6,Al-Medina Supermarket,Shop No 3  9th Ave  Laudium,,,,012-3746206,823680082,,OTHER,,,Mr. Farouk Chaourdy/Mr. Aslam                     ,,1/1/03,2,
